iter	Passed	Remaining
0	343	181241
1	540	142129
2	791	138568
3	977	128116
4	1208	126383
5	1488	129529
6	1714	127609
7	1867	121412
8	2048	118122
9	2197	113829
10	2363	111064
11	2560	110093
12	2727	108063
13	2900	106479
14	3073	105100
15	3194	102221116	3342	100471717	3519	99721818	3668	98271919	3840	97542020	4004	96682121	4225	97196
22	4391	96432
23	4589	96376
24	4753	95647
25	4925	95101
26	5106	94747
27	5283	94346
28	5444	93682
29	5627	93419
30	5812	93182
31	6026	93408
32	6204	93070
33	6371	92577
34	6557	92366
35	6741	92127
36	6913	91747
37	7083	91339
38	7300	91540
39	7472	91162
40	7651	90888
41	7818	90465
42	8012	90368
43	8188	90068
44	8375	89893
45	8542	89514
46	8717	89217
47	8888	88887
48	9087	88838
49	9249	88427
50	9393	87859
51	9444	86457
52	9629	86306
53	9811	86127
54	10000	86008
55	10164	85669
56	10353	85552
57	10550	85498
58	10820	86015
59	11056	86241
60	11265	86246
61	11469	86204
62	11733	86602
63	11933	86516
64	12177	86739
65	12377	86644
66	12567	86468
67	12760	86321
68	12950	86147
69	13141	85982
70	13317	85718
71	13512	85579
72	13714	85480
73	13886	85194
74	14037	84785
75	14231	84638
76	14406	84380
77	14621	84353
78	14806	84154
79	14967	83820
80	15162	83676
81	15343	83456
82	15519	83206
83	15710	83038
84	15717	81917
85	15895	81696
86	16075	81487
87	16283	81416
88	16436	81072
89	16640	80981
90	16820	80773
91	16994	80538
92	17194	80426
93	17382	80253
94	17544	79964
95	17703	79665
96	17880	79449
97	18050	79200
98	18246	79067
99	18397	78743
100	18612	78687
101	18801	78525
102	19037	78554
103	19291	78648
104	19486	78502
105	19698	78423
106	19922	78386
107	20137	78313
108	20355	78249
109	20596	78266
110	20802	78150
111	20988	77958
112	21189	77818
113	21395	77697
114	21638	77709
115	21888	77743
116	22105	77651
117	22317	77542
118	22536	77456
119	22727	77272
120	22906	77048
121	23092	76850
122	23238	76515
123	23404	76252
124	23548	75919
125	23698	75610
126	23874	75382
127	24006	75019
128	24210	74883
129	24409	74731
130	24599	74548
131	24814	74442
132	24993	74227
133	25155	73965
134	25310	73680
135	25485	73459
136	25674	73275
137	25879	73138
138	26069	72957
139	26260	72780
140	26416	72504
141	26625	72376
142	26803	72162
143	26970	71922
144	27140	71689
145	27306	71446
146	27483	71232
147	27689	71094
148	27883	70926
149	28068	70732
150	28241	70510
151	28426	70318
152	28584	70060
153	28762	69851
154	28955	69680
155	29177	69576
156	29328	69304
157	29481	69038
158	29653	68819
159	29831	68611
160	29982	68345
161	30163	68147
162	30351	67963
163	30491	67675
164	30642	67413
165	30808	67184
166	30951	66906
167	31148	66747
168	31335	66563
169	31527	66392
170	31667	66113
171	31815	65850
172	31966	65595
173	32103	65313
174	32251	65055
175	32396	64793
176	32550	64550
177	32709	64316
178	32867	64083
179	33021	63840
180	33183	63617
181	33341	63386
182	33501	63158
183	33646	62904
184	33794	62656
185	33941	62407
186	34107	62196
187	34289	62012
188	34453	61796
189	34641	61625
190	34807	61414
191	34955	61171
192	35133	60982
193	35314	60798
194	35488	60604
195	35651	60389
196	35829	60200
197	36053	60088
198	36231	59899
199	36381	59666
200	36558	59476
201	36731	59279
202	36894	59066
203	37069	58875
204	37229	58659
205	37380	58430
206	37536	58209
207	37748	58074
208	37886	57826
209	38033	57594
210	38183	57365
211	38326	57127
212	38489	56920
213	38637	56692
214	38798	56483
215	38964	56282
216	39160	56123
217	39309	55898
218	39487	55715
219	39651	55512
220	39818	55313
221	39988	55119
222	40168	54938
223	40354	54766
224	40509	54553
225	40687	54369
226	40933	54277
227	41079	54052
228	41254	53865
229	41391	53628
230	41536	53403
231	41695	53197
232	41871	53012
233	42028	52805
234	42181	52592
235	42378	52433
236	42551	52247
237	42734	52071
238	42924	51905
239	43080	51696
240	43246	51500
241	43394	51284
242	43585	51118
243	43769	50944
244	43941	50757
245	44117	50574
246	44300	50398
247	44459	50196
248	44602	49975
249	44793	49810
250	44993	49654
251	45174	49476
252	45367	49312
253	45494	49076
254	45660	48883
255	45829	48693
256	46022	48529
257	46158	48305
258	46317	48105
259	46451	47881
260	46592	47663
261	46771	47485
262	46930	47287
263	47128	47128
264	47288	46931
265	47461	46748
266	47635	46565
267	47804	46377
268	47975	46192
269	48142	46002
270	48310	45814
271	48478	45626
272	48654	45446
273	48821	45257
274	49013	45092
275	49189	44912
276	49323	44693
277	49485	44501
278	49644	44306
279	49818	44124
280	49992	43943
281	50015	43630
282	50187	43448
283	50339	43249
284	50489	43048
285	50639	42848
286	50804	42661
287	50961	42467
288	51143	42294
289	51337	42131
290	51533	41970
291	51717	41798
292	51869	41601
293	52030	41411
294	52236	41257
295	52412	41080
296	52584	40899
297	52786	40741
298	52984	40580
299	53156	40399
300	53349	40233
301	53543	40069
302	53774	39931
303	53956	39757
304	54119	39569
305	54256	39362
306	54413	39170
307	54566	38976
308	54782	38826
309	54970	38656
310	55144	38476
311	55294	38280
312	55480	38109
313	55744	37991
314	55914	37809
315	56086	37627
316	56248	37439
317	56394	37241
318	56559	37056
319	56743	36883
320	56913	36701
321	57136	36552
322	57323	36382
323	57501	36204
324	57682	36029
325	57928	35894
326	58115	35722
327	58317	35559
328	58444	35350
329	58609	35165
330	58759	34971
331	58909	34778
332	59097	34606
333	59316	34453
334	59493	34275
335	59665	34094
336	59848	33920
337	59990	33722
338	60037	33472
339	60190	33281
340	60336	33087
341	60484	32894
342	60642	32707
343	60806	32524
344	60973	32342
345	61119	32149
346	61255	31951
347	61428	31773
348	61586	31587
349	61733	31395
350	61924	31226
351	62084	31042
352	62219	30845
353	62422	30682
354	62586	30500
355	62743	30314
356	62927	30141
357	63085	29956
358	63224	29763
359	63365	29570
360	63529	29389
361	63704	29212
362	63850	29023
363	64012	28840
364	64159	28652
365	64296	28459
366	64442	28270
367	64583	28079
368	64741	27896
369	64920	27722
370	65072	27537
371	65247	27361
372	65433	27191
373	65579	27003
374	65737	26820
375	65909	26644
376	66104	26476
377	66278	26300
378	66455	26126
379	66621	25947
380	66787	25768
381	66968	25595
382	67156	25424
383	67309	25240
384	67472	25061
385	67658	24889
386	67815	24707
387	67965	24523
388	68169	24358
389	68424	24211
390	68609	24039
391	68772	23859
392	68989	23698
393	69208	23537
394	69402	23368
395	69556	23185
396	69715	23004
397	69861	22819
398	70008	22634
399	70167	22453
400	70344	22278
401	70464	22085
402	70648	21913
403	70798	21730
404	70949	21547
405	71127	21373
406	71314	21201
407	71447	21014
408	71599	20832
409	71747	20649
410	71909	20470
411	72075	20292
412	72239	20115
413	72408	19938
414	72558	19756
415	72702	19573
416	72858	19393
417	73041	19221
418	73202	19043
419	73375	18867
420	73533	18689
421	73710	18515
422	73869	18336
423	74031	18158
424	74195	17981
425	74354	17803
426	74499	17621
427	74678	17448
428	74811	17264
429	74945	17080
430	75085	16898
431	75198	16710
432	75350	16531
433	75461	16344
434	75584	16159
435	75733	15980
436	75861	15797
437	75973	15611
438	76102	15428
439	76235	15247
440	76366	15065
441	76513	14887
442	76632	14703
443	76752	14520
444	76867	14337
445	76988	14154
446	77127	13976
447	77265	13797
448	77399	13618
449	77527	13438
450	77669	13260
451	77797	13080
452	77900	12897
453	78012	12715
454	78121	12533
455	78246	12354
456	78359	12174
457	78488	11996
458	78619	11818
459	78737	11639
460	78890	11465
461	79010	11287
462	79128	11108
463	79220	10926
464	79346	10750
465	79471	10573
466	79584	10395
467	79726	10221
468	79894	10050
469	80047	9878
470	80189	9704
471	80353	9533
472	80492	9359
473	80648	9187
474	80781	9013
475	80912	8839
476	81046	8665
477	81167	8490
478	81284	8315
479	81344	8134
480	81419	7955
481	81489	7777
482	81556	7598
483	81623	7420
484	81702	7243
485	81776	7067
486	81842	6890
487	81907	6713
